[ Valid | 001/500 ] loss = 2.17364, acc = 0.25571 -> best
[ Valid | 002/500 ] loss = 2.14968, acc = 0.25371
[ Valid | 003/500 ] loss = 2.10274, acc = 0.27155 -> best
[ Valid | 004/500 ] loss = 2.03628, acc = 0.32909 -> best
[ Valid | 005/500 ] loss = 1.99796, acc = 0.33380 -> best
[ Valid | 006/500 ] loss = 1.95922, acc = 0.36169 -> best
[ Valid | 007/500 ] loss = 1.98510, acc = 0.35682
[ Valid | 008/500 ] loss = 2.13151, acc = 0.30783
[ Valid | 009/500 ] loss = 1.82322, acc = 0.43730 -> best
[ Valid | 010/500 ] loss = 1.81393, acc = 0.43376
[ Valid | 011/500 ] loss = 1.77259, acc = 0.47497 -> best
[ Valid | 012/500 ] loss = 1.79879, acc = 0.46773
[ Valid | 013/500 ] loss = 1.81847, acc = 0.43568
[ Valid | 014/500 ] loss = 1.81531, acc = 0.45556
[ Valid | 015/500 ] loss = 1.64822, acc = 0.52103 -> best
[ Valid | 016/500 ] loss = 1.68814, acc = 0.51034
[ Valid | 017/500 ] loss = 1.67699, acc = 0.51824
[ Valid | 018/500 ] loss = 1.68725, acc = 0.52258 -> best
[ Valid | 019/500 ] loss = 1.57231, acc = 0.56996 -> best
[ Valid | 020/500 ] loss = 1.59165, acc = 0.59036 -> best
[ Valid | 021/500 ] loss = 1.59865, acc = 0.59411 -> best
[ Valid | 022/500 ] loss = 1.65364, acc = 0.52448
[ Valid | 023/500 ] loss = 1.64437, acc = 0.51966
[ Valid | 024/500 ] loss = 1.46255, acc = 0.61821 -> best
[ Valid | 025/500 ] loss = 1.43289, acc = 0.62586 -> best
[ Valid | 026/500 ] loss = 1.47800, acc = 0.60219
[ Valid | 027/500 ] loss = 1.46248, acc = 0.61083
[ Valid | 028/500 ] loss = 1.45712, acc = 0.61971
[ Valid | 029/500 ] loss = 1.53722, acc = 0.58714
[ Valid | 030/500 ] loss = 1.43649, acc = 0.62358
[ Valid | 031/500 ] loss = 1.50267, acc = 0.59716
[ Valid | 032/500 ] loss = 1.45011, acc = 0.64772 -> best
[ Valid | 033/500 ] loss = 1.36165, acc = 0.64580
[ Valid | 034/500 ] loss = 1.34022, acc = 0.66753 -> best
[ Valid | 035/500 ] loss = 1.36611, acc = 0.66695
[ Valid | 036/500 ] loss = 1.36044, acc = 0.65670
[ Valid | 037/500 ] loss = 1.39610, acc = 0.66796 -> best
[ Valid | 038/500 ] loss = 1.32009, acc = 0.69336 -> best
[ Valid | 039/500 ] loss = 1.39971, acc = 0.65853
[ Valid | 040/500 ] loss = 1.38541, acc = 0.66545
[ Valid | 041/500 ] loss = 1.29571, acc = 0.68116
[ Valid | 042/500 ] loss = 1.35120, acc = 0.69839 -> best
[ Valid | 043/500 ] loss = 1.33893, acc = 0.68571
[ Valid | 044/500 ] loss = 1.32066, acc = 0.67584
[ Valid | 045/500 ] loss = 1.36109, acc = 0.66209
[ Valid | 046/500 ] loss = 1.46514, acc = 0.62323
[ Valid | 047/500 ] loss = 1.31414, acc = 0.69012
[ Valid | 048/500 ] loss = 1.33199, acc = 0.70004 -> best
[ Valid | 049/500 ] loss = 1.32696, acc = 0.69802
